area_name,salary
Архангельск,44583.489
Стрежевой,44540.000
Товарково (Калужская область),44500.000
Плесецк,44500.000
Шарыпово,44490.250
Темрюк,44480.488
Заволжск,44450.000
Лабытнанги,44450.000
Калуга,44397.404
Тюмень,44375.490
Ждановский,44350.000
Белогорск,44314.286
Менделеевск,44242.857
Чигири (Амурская область),44200.000
Одесса,44143.047
Макинск,44081.700
Чамзинка,44000.000
"Давыдово (Московская область, Орехово-Зуевский район)",44000.000
Карабаш (Челябинская область),44000.000
Александров,43990.278
Краснодар,43963.894
Керчь,43873.619
Малоярославец,43853.833
Житикара,43850.013
Кеген,43790.400
Раевский (Альшеевский район),43750.000
Гагарин,43750.000
Шкотово,43750.000
Симферополь,43631.844
Асбест,43585.714
Днепр (Днепропетровск),43571.636
Волосово,43500.000
Камень-на-Оби,43500.000
Ростов (Ярославская область),43415.385
Бабынино (Калужская область),43333.333
Некрасовский (Московская область),43333.333
Туапсе,43324.526
Севастополь,43259.455
Саяногорск,43210.000
Октябрьское (Республика Крым),43200.000
Осиново,43000.000
Большой Исток,43000.000
Айхал,43000.000
Трудовое (Приморский край),43000.000
Светогорск,43000.000
Хотьково,42992.308
Саки,42907.222
Горно-Алтайск,42853.846
Новокузнецк,42843.381
Лысьва,42833.333
Курчатов,42803.846
Шумиха,42800.000
Светлогорск (Калининградская область),42777.778
Березовский (Свердловская область),42751.685
Челябинск,42744.929
Кашира,42725.000
Аксай (Ростовская область),42679.710
Узловая,42669.864
Алматы,42559.567
Черногорск,42543.636
Великий Новгород,42526.991
Канск,42522.667
Кимры,42513.913
Агроном (Краснодарский край),42500.000
"Лесной (Московская область, Пушкинский район)",42500.000
Зеленоградск,42500.000
Андреевский (Тюменская область),42500.000
Разметелево,42500.000
Полевской,42425.000
Джанкой,42400.588
Березовский (Кемеровская область),42253.750
Косулино (Свердловская область),42250.000
Жердевка,42225.000
Воткинск,42081.818
Прокопьевск,42058.432
Ново-Переделкино,42000.000
Черняховск,42000.000
Новомосковск (Тульская область),41991.692
Сосновый Бор,41952.152
Ковров,41924.691
Каспийск,41923.077
Копейск,41900.000
Снежинск,41877.778
Тарко-Сале,41822.222
Бердск,41762.687
Прохоровка,41740.000
Лиски,41709.375
Новосёлово,41666.667
